
========== REPORT ==========
[OK] Totals | Stores=35 | Categories=122 | Unique=25328 | New=0 | Restored=1 | Removed=6 | PriceChanges=19 | Runtime=  3065s

FAILED CATEGORIES (3)
  ✗ Elbow Liquor | Whisky
  ✗ Elbow Liquor | Rum
  ✗ Elbow Liquor | Gin

Sherbrooke Liquor | Rum                            2     134     0     0     0     0     8.0s
Sherbrooke Liquor | Gin                            2     114     0     0     0     0     7.9s
New District | Whiskey                             5      72     0     0     0     0      14s
Everything Wine | Gin                              8     169     0     0     0     0      34s
New District | Rum                                 2      25     0     0     0     0     8.0s
High Point BWS | Whiskey                          17     240     0     0     0     0      46s
New District | Gin                                 4      49     0     0     0     0      13s
Silver Springs Liquor | Scotch Whisky              9     178     0     0     0     0      25s
High Point BWS | Rum                               4      59     0     0     0     0      13s
CLB Spirits | Whisky                              41    1957     0     0     0     0     115s
Silver Springs Liquor | US Whiskey                 3      53     0     0     0     0      11s
High Point BWS | Gin                               5      69     0     0     0     0      16s
Silver Springs Liquor | Canadian Whiskey           3      43     0     0     0     0      11s
Silver Springs Liquor | Irish Whiskey              2      15     0     0     0     0     8.2s
CLB Spirits | Rum                                  9     272     0     0     0     0      25s
Marquis Wine Cellars | Whisky                      0      45     0     0     0     0      19s
CLB Spirits | Gin                                  2     247     0     0     0     0     5.5s
Liquorama | Whisky                                 0     237     0     0     0     0      47s
Silver Springs Liquor | World Whisky               2      14     0     0     0     0     8.1s
Marquis Wine Cellars | Rum                         0      17     0     0     0     0     8.7s
Liquorama | Rum                                    0      64     0     0     0     0     8.0s
Silver Springs Liquor | Japanese Whisky            2       7     0     0     0     0     8.1s
Liquorama | Gin                                    0      28     0     0     0     0     5.3s
Marquis Wine Cellars | Gin                         0      19     0     0     0     0     8.9s
Silver Springs Liquor | Rum                        3      45     0     0     1     0      11s
Silver Springs Liquor | Gin                        2      33     0     0     0     0     8.1s
Wine and Beyond | Whiskey                          0    1002     0     0     0     0    2298s
Wine and Beyond | Rum                              0     250     0     0     0     0     471s
Wine and Beyond | Gin                              0     144     0     0     0     0     296s

NEW LISTINGS (0)

RESTORED (1)
